Astar_total_moves,Minimax_total_moves,RL_total_moves,Astar_total_deaths,Minimax_total_deaths,RL_total_deaths,win,loss,Astar_total_kills,Minimax_total_kills,RL_total_kills,,Sum of Wins,Sum of Loss,Hero 1 Kills,Hero 2 kills,Hero 3 kills
14,16,24,0,0,0,1,0,1,0,0,,,,,,
17,23,17,0,0,0,1,0,0,1,0,,,,,,
12,31,32,1,0,0,0,1,0,1,0,,,,,,
13,22,17,1,0,0,0,1,0,0,1,,,,,,
21,34,19,0,0,0,1,0,1,0,0,,,,,,
23,30,21,0,1,0,0,1,1,0,0,,,,,,
4,26,17,1,0,0,0,1,0,1,0,,,,,,
38,65,28,0,0,0,1,0,1,0,0,,,,,,
24,41,9,0,0,1,0,1,1,0,0,,,,,,
28,38,29,0,0,0,1,0,0,0,1,,,,,,
28,38,30,0,0,0,1,1,0,0,1,,,,,,
19,42,25,0,0,0,1,0,0,0,1,,,,,,
4,13,18,0,0,0,0,1,0,1,0,,,,,,
7,36,34,1,1,1,0,1,0,0,0,,,,,,
6,25,11,1,0,1,0,1,0,1,0,,,,,,
34,38,28,1,1,1,0,1,0,0,0,,,,,,
25,41,23,0,1,0,0,1,1,0,0,,,,,,
17,34,18,0,0,0,1,0,0,1,0,,,,,,
15,22,7,1,1,1,0,1,0,0,0,,,,,,
15,23,16,0,0,0,1,0,0,0,1,,,,,,
16,29,18,0,0,0,1,0,0,0,1,,,,,,
12,22,19,0,0,0,1,0,1,0,0,,,,,,
15,22,15,0,0,0,1,0,0,0,1,,,,,,
24,33,27,0,0,0,1,0,1,0,0,,,,,,
8,33,11,1,0,1,0,1,0,1,0,,,,,,
5,21,19,1,1,1,0,1,0,0,0,,,,,,
12,20,33,0,0,0,1,0,1,0,0,,,,,,
20,31,26,0,0,0,1,0,1,0,0,,,,,,
11,29,30,1,0,0,0,1,0,1,0,,,,,,
11,21,16,0,0,0,1,0,1,0,0,,,,,,
11,14,12,1,1,1,0,1,0,0,0,,,,,,
