Monte_total_moves,RL_total_moves,Nash_total_moves,Monte_total_deaths,RL_total_deaths,Nash_total_deaths,win,loss,Monte_total_kills,RL_total_kills,Nash_total_kills,,Monte Moves,Rl Moves,Nash Moves,Monte Deaths,Rl Deaths,Nash Deaths
24,17,21,1,1,1,0,1,0,0,0,,,,,,,
20,30,12,0,0,1,0,1,0,1,0,,,,,,,
20,30,12,0,0,1,0,1,0,1,0,,,,,,,
38,1001,37,0,0,0,0,1,0,0,1,,,,,,,
16,30,9,0,0,1,0,1,0,1,0,,,,,,,
16,30,9,0,0,1,0,1,0,1,0,,,,,,,
17,16,15,0,0,0,0,1,0,1,0,,,,,,,
45,67,44,0,0,0,1,0,0,1,0,,,,,,,
45,67,44,0,0,0,1,0,0,1,0,,,,,,,
55,58,56,0,0,0,1,0,0,1,0,,,,,,,
55,58,56,0,0,0,1,0,0,1,0,,,,,,,
16,19,15,0,0,0,1,0,0,0,1,,,,,,,
16,19,15,0,0,0,1,0,0,0,1,,,,,,,
26,31,25,0,0,0,1,0,0,1,0,,,,,,,
26,31,25,0,0,0,1,0,0,1,0,,,,,,,
36,14,50,0,1,0,0,1,0,0,1,,,,,,,
39,15,34,1,1,1,0,1,0,0,0,,,,,,,
25,13,34,0,1,0,0,1,0,0,1,,,,,,,
18,23,17,0,0,0,1,0,0,1,0,,,,,,,
18,23,17,0,0,0,1,0,0,1,0,,,,,,,
46,21,41,1,1,1,0,1,0,0,0,,,,,,,
29,31,28,0,0,0,1,0,0,1,0,,,,,,,
29,31,28,0,0,0,1,0,0,1,0,,,,,,,
56,27,55,1,1,1,0,1,0,0,0,,,,,,,
13,12,12,0,0,0,0,1,0,1,0,,,,,,,
24,16,28,0,1,0,0,1,0,0,1,,,,,,,
24,28,23,0,0,0,1,0,0,1,0,,,,,,,
24,28,23,0,0,0,1,0,0,1,0,,,,,,,
30,38,29,0,0,0,1,0,0,1,0,,,,,,,
30,38,29,0,0,0,1,0,0,1,0,,,,,,,
27,12,38,0,1,0,0,1,0,0,1,,,,,,,
29,16,33,0,1,0,0,1,0,0,1,,,,,,,
28,27,15,0,0,1,0,1,0,1,0,,,,,,,
40,27,49,0,1,0,0,1,0,0,1,,,,,,,
25,12,31,0,1,0,0,1,0,0,1,,,,,,,
43,26,36,1,1,1,0,1,0,0,0,,,,,,,
16,16,8,1,1,1,0,1,0,0,0,,,,,,,
25,29,8,0,0,1,0,1,0,1,0,,,,,,,
25,29,8,0,0,1,0,1,0,1,0,,,,,,,
17,16,16,0,0,0,0,1,0,1,0,,,,,,,
53,14,67,0,1,0,0,1,0,0,1,,,,,,,
16,17,16,0,0,0,1,0,0,1,0,,,,,,,
16,17,16,0,0,0,1,0,0,1,0,,,,,,,
17,16,5,0,0,1,0,1,0,1,0,,,,,,,
17,16,5,0,0,1,0,1,0,1,0,,,,,,,
33,10,30,1,1,1,0,1,0,0,0,,,,,,,
48,8,63,0,1,0,0,1,0,0,1,,,,,,,
15,14,14,0,0,0,0,1,0,1,0,,,,,,,
18,12,13,1,1,1,0,1,0,0,0,,,,,,,
51,15,62,0,1,0,0,1,0,0,1,,,,,,,
